Iteration,Out Of Box,Dislocated(any),Dislocated(position),Dislocated(angle),Front Area,Gross Volume,Net Volume,Deflation Factor,Back area,Front Face Area,Back Face Area,Box overflow,Duration (sec.),Waiting Loops,Duration (tics),Settings ID
10,0,34,7,31,31.711879032582324,79.91393516210746,49.94869838651913,0.6250311448835165,30.824361970336184,19.976942677578123,19.92900715731222,False,132.074568,6,2260,2609
11,0,26,4,23,29.099078910950887,73.32967885559623,49.948698386519176,0.6811525587733743,28.94499845352454,20.05501329705506,19.85093653783526,False,136.751906,5,2210,2609
12,1,45,9,41,31.61857151913761,79.67880022822678,49.8326647982125,0.6254193669517494,30.934135958751607,19.91142947517649,19.902375090989562,False,131.781646,9,2410,2609
13,0,24,4,20,29.914650237595,75.3849185987394,49.94869838651916,0.6625821094586207,29.642280016572677,20.084440124202334,19.821509710688005,False,130.488509,6,2260,2609
14,0,40,9,33,30.26656087518725,76.27173340547186,49.94869838651916,0.6548782380621201,30.552968988217778,20.049982350579587,19.85596748431074,False,135.060231,8,2360,2609
15,0,30,5,27,30.198477357657897,76.1001629412979,49.948698386519176,0.6563546838270055,29.853255969176082,19.838425145092348,20.067524689797967,False,138.659271,7,2310,2609
16,0,44,7,41,31.38247133879666,79.08382777376758,49.948698386519155,0.631591815831243,31.13322092399661,19.98596423212181,19.919985602768495,False,122.803482,5,2210,2609
17,0,29,3,26,29.838780156563697,75.19372599454051,49.948698386519155,0.6642668351099627,28.80720694325552,20.052123817211907,19.853826017678404,False,114.009913,3,2110,2609
18,0,30,3,27,29.3772031355046,74.0305519014716,49.94869838651916,0.6747038500131224,30.40526122351667,19.614792442842916,20.29115739204742,False,118.43548,5,2210,2609
19,0,48,12,39,30.780979977078744,77.56806954223843,49.948698386519204,0.6439337562644956,30.055149288086927,20.180713916912314,19.725235917978026,False,112.199302,5,2210,2609
20,0,47,6,44,32.252097928493576,81.2752867798038,49.948698386519155,0.6145619457713309,31.208807625922724,20.119446576982032,19.78650325790831,False,134.029767,7,2310,2609
1,0,13,3,10,26.907072291480137,67.80582217452995,49.94869838651917,0.7366432082772018,26.678185798637234,20.137412874128998,19.768536960761335,False,128.995852,5,350,2610
2,0,19,3,16,26.569557295485527,66.95528438462352,49.948698386519176,0.74600083989771,27.063212597659508,19.775759011033028,20.130190823857284,False,107.083721,6,400,2610
