<<<<<<< HEAD
Iteration,Out Of Box,Front Area,Gross Volume,Net Volume,Deflation Factor
1,0,3.104800573245497,7.463217224322667,9.314401719736491,0.8012556736208502
2,0,3.1065332486631734,7.463217224322668,9.319599745989521,0.8008087715928246
3,0,3.1071926414354767,7.463217224322667,9.32157792430643,0.8006388279887674
4,0,3.13520901689738,7.463217224322668,9.40562705069214,0.7934842817070306
5,0,3.084408374181164,7.4632172243226655,9.253225122543492,0.806553080194725
6,0,3.1127612445965793,7.463217224322668,9.338283733789737,0.7992065177156366
7,0,3.092001846394999,7.463217224322667,9.276005539184997,0.8045723121655657
8,0,3.1358914128400937,7.463217224322669,9.407674238520281,0.793311612955738
9,0,3.0807013781532246,7.463217224322667,9.242104134459673,0.8075236023900302
10,0,3.0739243662916973,7.463217224322666,9.221773098875092,0.8093039315002295
11,0,3.090995095649435,7.4632172243226655,9.272985286948305,0.804834364918827
12,0,3.09710748934487,7.463217224322668,9.29132246803461,0.803245958796365
13,0,3.091609423694263,7.463217224322668,9.27482827108279,0.8046744377566114
14,0,3.1097036511980765,7.463217224322667,9.32911095359423,0.7999923316859375
15,0,3.0846769420239077,7.463217224322666,9.254030826071723,0.8064828575344993
16,0,3.1104556967018855,7.463217224322666,9.331367090105656,0.7997989096620314
17,0,3.09103512890631,7.4632172243226655,9.27310538671893,0.8048239411806523
18,0,3.1104365288858347,7.463217224322667,9.331309586657504,0.7998038383587709
19,0,3.1014136234672525,7.463217224322667,9.304240870401758,0.8021306980631087
20,0,3.08489867387262,7.463217224322666,9.25469602161786,0.8064248903356184
21,0,3.0983812518011704,7.463217224322666,9.295143755403512,0.8029157397360425
22,0,3.0878592375074003,7.463217224322668,9.263577712522201,0.8056517099472417
23,0,3.065920229866845,7.463217224322668,9.197760689600535,0.8114167650350991
24,0,3.0658122265574326,7.463217224322669,9.197436679672297,0.8114453498568236
25,0,3.1417604155060963,7.463217224322669,9.425281246518288,0.7918296578236953
26,0,3.09668253623905,7.463217224322665,9.290047608717149,0.8033561870360804
27,0,3.0622632025963443,7.463217224322668,9.186789607789033,0.8123857781607373
28,0,3.093827080985841,7.463217224322666,9.281481242957522,0.8040976465890621
29,0,3.0984551790162396,7.4632172243226655,9.295365537048719,0.8028965826654558
30,0,3.0891591173241713,7.463217224322667,9.267477351972513,0.8053127017067031
31,0,3.0721613845044176,7.463217224322667,9.216484153513253,0.8097683563506965
32,0,3.06457488048788,7.463217224322668,9.193724641463639,0.8117729772614253
33,0,3.08612770077716,7.463217224322666,9.25838310233148,0.8061037377512766
34,0,3.0950767969250403,7.463217224322669,9.285230390775121,0.8037729717226378
35,0,3.1102641429865603,7.463217224322668,9.33079242895968,0.7998481673602899
36,0,3.099447292841276,7.463217224322668,9.298341878523829,0.802639580456844
37,0,3.121336042999773,7.463217224322667,9.36400812899932,0.797010972385841
38,0,3.1409045213841695,7.4632172243226655,9.42271356415251,0.7920454308104522
39,0,3.0904673090177974,7.463217224322666,9.271401927053393,0.8049718136526308
40,0,3.0719915926542916,7.463217224322667,9.215974777962874,0.8098131130055414
41,0,3.06444577504855,7.463217224322671,9.193337325145649,0.8118071773467131
42,0,3.103998402250843,7.463217224322665,9.31199520675253,0.8014627433346146
43,0,3.114655617303686,7.463217224322666,9.343966851911057,0.7987204302631131
44,0,3.1076805653823962,7.463217224322668,9.32304169614719,0.8005131230301044
45,0,3.105137908847622,7.463217224322666,9.315413726542866,0.8011686269024589
46,0,3.0973832798241903,7.4632172243226655,9.292149839472572,0.8031744379130978
