Iteration,Out Of Box,Front Area,Gross Volume,Net Volume,Deflation Factor,Start time,Finish Time
1,0,1.2115639914626208,7.394446178568495,3.6346919743878625,2.0344079307611294,2020-07-11 13:26:57.514425,2020-07-11 13:26:58.374152
2,0,1.077824475043919,7.394446178568495,3.233473425131757,2.286843034210862,2020-07-11 13:27:01.376382,2020-07-11 13:27:02.241055
3,0,1.3886542565091222,7.394446178568495,4.165962769527367,1.774966937452349,2020-07-11 13:27:05.243510,2020-07-11 13:27:06.114546
4,0,1.2257523637665269,7.394446178568495,3.6772570912995803,2.0108591798119893,2020-07-11 13:27:09.115428,2020-07-11 13:27:09.978235
5,0,1.4685053485955883,7.394446178568495,4.405516045786765,1.6784517640425365,2020-07-11 13:27:12.979461,2020-07-11 13:27:13.809632
6,0,1.5729255942518605,7.394446178568495,4.718776782755581,1.567026057598433,2020-07-11 13:27:16.811499,2020-07-11 13:27:17.593306
7,0,1.2276371591839368,7.3944461785684945,3.6829114775518104,2.007771901018892,2020-07-11 13:27:20.595601,2020-07-11 13:27:21.447770
8,0,1.2473971800201344,7.3944461785684945,3.7421915400604036,1.9759667829426868,2020-07-11 13:27:24.450920,2020-07-11 13:27:25.348796
9,0,1.5888582649562786,7.394446178568495,4.766574794868836,1.5513123147733952,2020-07-11 13:27:28.351435,2020-07-11 13:27:29.229760
10,0,0.9988089421564446,7.394446178568495,2.9964268264693334,2.467754631365824,2020-07-11 13:27:32.231479,2020-07-11 13:27:33.084455
