"settings_id","stem_file","iterations_number","pile_width","pile_height","pile_depth","n_sides","n_meshes","lateral_friction","spinning_friction","rolling_friction","restitution","bend_function","random_turn","drop_algorithm","intended.con"
2159,"My200-4-2-0.csv",20,12,2,3,10,8,0.45,0.85,0.02,0.1,"4th order poly",FALSE,"trapezoid-freeze",2141
2160,"My200-4-2-0.csv",20,4,2,3,10,8,0.45,0.85,0.02,0.1,"4th order poly",TRUE,"grid",2142
2161,"My200-4-2-0.csv",20,4,2,3,10,8,0.45,0.85,0.02,0.1,"4th order poly",TRUE,"rowwise",2143
2162,"My200-4-2-0.csv",20,4,2,3,10,8,0.45,0.85,0.02,0.1,"4th order poly",TRUE,"rowwise-freeze",2144
2163,"My200-4-2-0.csv",20,12,2,3,10,8,0.45,0.85,0.02,0.1,"4th order poly",TRUE,"trapezoid",2145
2164,"My200-4-2-0.csv",20,12,2,3,10,8,0.45,0.85,0.02,0.1,"4th order poly",TRUE,"trapezoid-freeze",2146
2165,"My200-4-2-0.csv",20,4,2,3,10,15,0.45,0.85,0.02,0.1,"4th order poly",FALSE,"grid",2147
2166,"My200-4-2-0.csv",20,4,2,3,10,15,0.45,0.85,0.02,0.1,"4th order poly",FALSE,"rowwise",2148
2167,"My200-4-2-0.csv",20,4,2,3,10,15,0.45,0.85,0.02,0.1,"4th order poly",FALSE,"rowwise-freeze",2149
2168,"My200-4-2-0.csv",20,12,2,3,10,15,0.45,0.85,0.02,0.1,"4th order poly",FALSE,"trapezoid",2150
2169,"My200-4-2-0.csv",20,12,2,3,10,15,0.45,0.85,0.02,0.1,"4th order poly",FALSE,"trapezoid-freeze",2151
2170,"My200-4-2-0.csv",20,4,2,3,10,15,0.45,0.85,0.02,0.1,"4th order poly",TRUE,"grid",2152
2171,"My200-4-2-0.csv",20,4,2,3,10,15,0.45,0.85,0.02,0.1,"4th order poly",TRUE,"rowwise",2153
2172,"My200-4-2-0.csv",20,4,2,3,10,15,0.45,0.85,0.02,0.1,"4th order poly",TRUE,"rowwise-freeze",2154
2335,"My200-4-2-0.csv",20,4,2,3,10,8,0.65,0.45,0.02,0.1,"4th order poly",FALSE,"grid",2317
2336,"My200-4-2-0.csv",20,4,2,3,10,8,0.65,0.45,0.02,0.1,"4th order poly",FALSE,"rowwise",2318
2337,"My200-4-2-0.csv",20,4,2,3,10,8,0.65,0.45,0.02,0.1,"4th order poly",FALSE,"rowwise-freeze",2319
2338,"My200-4-2-0.csv",20,12,2,3,10,8,0.65,0.45,0.02,0.1,"4th order poly",FALSE,"trapezoid",2320
2339,"My200-4-2-0.csv",20,12,2,3,10,8,0.65,0.45,0.02,0.1,"4th order poly",FALSE,"trapezoid-freeze",2321
2340,"My200-4-2-0.csv",20,4,2,3,10,8,0.65,0.45,0.02,0.1,"4th order poly",TRUE,"grid",2322
2341,"My200-4-2-0.csv",20,4,2,3,10,8,0.65,0.45,0.02,0.1,"4th order poly",TRUE,"rowwise",2323
2342,"My200-4-2-0.csv",20,4,2,3,10,8,0.65,0.45,0.02,0.1,"4th order poly",TRUE,"rowwise-freeze",2324
2343,"My200-4-2-0.csv",20,12,2,3,10,8,0.65,0.45,0.02,0.1,"4th order poly",TRUE,"trapezoid",2325
2344,"My200-4-2-0.csv",20,12,2,3,10,8,0.65,0.45,0.02,0.1,"4th order poly",TRUE,"trapezoid-freeze",2326
2345,"My200-4-2-0.csv",20,4,2,3,10,15,0.65,0.45,0.02,0.1,"4th order poly",FALSE,"grid",2327
2346,"My200-4-2-0.csv",20,4,2,3,10,15,0.65,0.45,0.02,0.1,"4th order poly",FALSE,"rowwise",2328
2347,"My200-4-2-0.csv",20,4,2,3,10,15,0.65,0.45,0.02,0.1,"4th order poly",FALSE,"rowwise-freeze",2329
2348,"My200-4-2-0.csv",20,12,2,3,10,15,0.65,0.45,0.02,0.1,"4th order poly",FALSE,"trapezoid",2330
2349,"My200-4-2-0.csv",20,12,2,3,10,15,0.65,0.45,0.02,0.1,"4th order poly",FALSE,"trapezoid-freeze",2331
2350,"My200-4-2-0.csv",20,4,2,3,10,15,0.65,0.45,0.02,0.1,"4th order poly",TRUE,"grid",2332
2351,"My200-4-2-0.csv",20,4,2,3,10,15,0.65,0.45,0.02,0.1,"4th order poly",TRUE,"rowwise",2333
2352,"My200-4-2-0.csv",20,4,2,3,10,15,0.65,0.45,0.02,0.1,"4th order poly",TRUE,"rowwise-freeze",2334
2515,"My200-4-2-0.csv",20,4,2,3,10,8,0.65,0.65,0.02,0.1,"4th order poly",FALSE,"grid",2497
2516,"My200-4-2-0.csv",20,4,2,3,10,8,0.65,0.65,0.02,0.1,"4th order poly",FALSE,"rowwise",2498
2517,"My200-4-2-0.csv",20,4,2,3,10,8,0.65,0.65,0.02,0.1,"4th order poly",FALSE,"rowwise-freeze",2499
2518,"My200-4-2-0.csv",20,12,2,3,10,8,0.65,0.65,0.02,0.1,"4th order poly",FALSE,"trapezoid",2500
