Iteration,Out Of Box,Dislocated(any),Dislocated(position),Dislocated(angle),Front Area,Gross Volume,Net Volume,Deflation Factor,Back area,Front Face Area,Back Face Area,Box overflow,Duration (sec.),Waiting Loops,Duration (tics),Settings ID
1,22,82,52,75,74.10483202159702,222.31449606479106,153.24647622300094,0.6893229138703532,65.14827901814328,143.93276669711338,148.35338059573292,True,52.246703,0,11560,6517
2,21,65,33,57,75.6828182452068,227.0484547356204,154.1227316186037,0.6788098681317483,73.99957578402879,152.8358748906927,141.10646173804432,True,42.511618,0,11560,6517
3,15,61,39,46,65.02716056322235,195.08148168966704,159.00250973374327,0.815056910356475,76.95393690148562,150.38258169354577,153.1939864837135,True,36.362934,0,11680,6517
4,22,76,48,67,67.22117530304867,201.66352590914602,153.100932904302,0.7591900033190803,65.56505533179522,148.2216865291561,143.9493349457064,True,37.770512,0,11560,6517
5,26,73,43,65,77.1284601068321,231.38538032049627,149.6384852935292,0.6467067413086431,77.17053804926255,143.10544987863713,142.49994804690428,True,33.671658,0,11680,6517
6,19,76,53,67,63.31610674904113,189.9483202471234,155.57692183720403,0.8190486845832483,66.85330262565337,151.31432553158004,145.74689765436725,True,64.29282,15,12310,6517
7,18,71,35,59,73.96668164669018,221.90004494007053,156.66356892857442,0.7060096313675159,71.75723862147521,146.69945349508856,152.1304698339282,True,53.097309,0,11440,6517
8,19,48,25,37,72.98505640547354,218.95516921642064,155.88599126489146,0.7119539210824017,69.95889504897607,149.3673502454922,147.8513323128647,True,62.842191,1,11730,6517
9,22,64,38,51,74.41501627683755,223.24504883051264,153.1678723961565,0.6860975112260669,76.22400794370594,142.83299738091176,149.4188516102357,True,54.463695,1,11490,6517
10,22,86,50,73,71.65772708871069,214.97318126613206,153.2803868359351,0.7130209728169644,65.143372781239,141.62282773622726,150.72296045480036,True,56.644691,0,11560,6517
11,21,54,26,42,64.46798137683604,193.4039441305081,154.01334981462713,0.796329932706541,65.58819895948407,145.59982817294963,148.2711502579189,True,58.132493,0,11560,6517
12,15,62,36,51,58.96711286858842,176.90133860576526,159.29315074376132,0.9004632299518954,63.13504126353031,149.93678733763235,153.81602254950744,True,66.422273,0,11680,6517
13,14,48,35,37,76.50754154910953,229.5226246473286,160.02381274823315,0.6972027833601008,74.08844886394287,155.76489381531806,149.59244870161268,True,58.881863,0,11560,6517
14,17,66,42,54,72.27750749268179,216.83252247804538,157.35185534853173,0.7256838298528941,69.95572384160992,150.6855834001867,149.67386741816983,True,59.448235,0,11560,6517
15,8,51,31,39,73.79828888989118,221.39486666967355,165.14146341459434,0.7459136966395403,71.00994374161336,158.6224151280454,156.55297636217,True,63.147797,0,11680,6517
16,32,82,55,62,72.23642642332115,216.70927926996345,144.41950917954588,0.6664205135380322,72.37000103816955,133.78770057444683,141.92700160389052,True,56.684679,15,12310,6517
17,7,52,25,44,69.6747491619464,209.02424748583917,166.06402029187882,0.7944725183289044,57.62539812784587,160.4399573887169,156.40968225759184,True,67.963484,11,12110,6517
18,20,85,52,67,74.27477822079102,222.82433466237308,154.97114865791247,0.6954857461718765,61.4220099544112,148.06574399347636,147.49852517861456,True,57.945375,0,11560,6517
19,21,72,43,62,63.980587362117475,191.9417620863524,154.12046671968176,0.8029543182496403,66.6339208973147,147.1589166424026,146.7829596088052,True,64.476181,0,11680,6517
20,22,63,34,58,72.71329664183708,218.13988992551123,153.18496132066818,0.7022326882670411,73.1311551237097,143.04778887600958,149.17104535246781,True,54.17587,0,11560,6517
1,76,15,1,14,116.16221395975705,348.48664187927113,106.52989387948733,0.3056929049131051,125.22106181252937,95.2914187442898,108.12038632344093,True,10.74445,15,830,6518
2,76,14,0,14,125.8995410839887,377.69862325196607,106.62156175685858,0.28229269367955945,119.4080113599921,104.14246529283605,99.37523784896462,True,9.8667,15,830,6518
3,76,15,1,15,120.7356224326884,362.2068672980652,106.5355962490632,0.29412914515890043,118.96390925913857,100.42671254226704,103.04742150391785,True,11.358784,15,830,6518
4,76,9,1,9,124.89876813496788,374.69630440490363,106.67767620700734,0.28470437245553804,116.93562651412061,104.16208279544168,99.3514332886514,True,10.943593,15,830,6518
5,77,12,0,12,122.7051689342404,368.1155068027212,105.76970632702927,0.28732749469234636,118.63450111709739,101.6861275760601,100.21501064882281,True,10.574182,15,830,6518
6,76,13,0,13,122.14413560571523,366.4324068171457,106.95567144665853,0.2918837675294116,118.84131618155163,100.67818649431817,103.0486416302271,True,10.930875,15,830,6518
7,77,9,0,9,122.8583649817837,368.5750949453511,105.62290185672887,0.2865709140558986,117.71169815721538,102.56315666454996,99.22380004023697,True,10.507563,15,830,6518
8,76,12,1,12,122.88475089966087,368.65425269898265,106.52353129010929,0.28895240054938137,119.50594919743357,101.58801305898263,101.87282698454779,True,10.787152,15,830,6518
9,77,9,0,9,117.57772453636798,352.7331736091039,105.82963070100229,0.30002743892266237,121.26973726927397,95.85355226544017,106.07252031369659,True,10.449459,15,830,6518
10,76,16,2,14,122.56259057615884,367.6877717284765,106.72329760369888,0.2902552268790434,119.2864733674099,101.62098660205216,101.94644222302887,True,10.851305,15,830,6518
11,77,17,0,17,118.14037612640368,354.42112837921104,105.72397888401744,0.29830044096834607,122.7043237007483,97.05129328326721,104.83178643114786,True,10.123493,15,830,6518
12,77,13,0,13,120.07310962644527,360.2193288793358,105.9110766976905,0.294018305533982,122.90642597451628,97.28032571377298,104.73764521733447,True,9.687518,15,830,6518
13,77,15,0,15,125.03444934618159,375.10334803854477,106.01862213217534,0.282638432012292,117.67617992747651,103.90841311608276,98.15300303458055,True,9.599946,15,830,6518
