Iteration,Out Of Box,Dislocated(any),Dislocated(position),Dislocated(angle),Front Area,Gross Volume,Net Volume,Deflation Factor,Back area,Front Face Area,Back Face Area,Box overflow,Duration (sec.),Waiting Loops,Duration (tics)
1,0,25,3,22,29.557755563603823,74.48554402028164,49.94869838651917,0.670582447151338,29.49646837769753,19.954479975945695,19.951469858944645,False,133.038129,3,2350
2,0,41,3,38,31.084724907419485,78.3335067666971,49.948698386519176,0.6376415463600117,31.758620704200137,19.87137542548027,20.034574409410034,False,122.735391,4,2400
3,0,27,3,25,30.31062675398337,76.38277942003809,49.94869838651913,0.6539261698221955,30.78842366961431,19.648113745323215,20.257836089567103,False,121.860083,7,2550
4,0,32,3,29,29.966466020932554,75.51549437275004,49.948698386519155,0.6614364217754929,30.140859417507524,19.973066423482475,19.932883411407822,False,122.883497,7,2550
5,0,51,9,47,33.09282521602753,83.39391954438938,49.948698386519155,0.5989489240871114,32.28631982147194,19.852349469131216,20.053600365759078,False,109.724562,3,2350
6,0,38,5,34,31.4247300646126,79.19031976282375,49.94869838651917,0.6307424763041279,30.792395975441423,19.901567230438687,20.00438260445163,False,118.908715,5,2450
7,0,35,4,32,31.307536628186895,78.89499230303097,49.9486983865192,0.6331035332973887,31.350307663737517,19.847420781496655,20.058529053393674,False,111.469681,5,2450
8,0,39,8,34,31.477435231778447,79.32313678408168,49.94869838651915,0.6296863741341946,31.123030648500894,19.774942196943098,20.13100763794722,False,108.314794,3,2350
9,0,35,4,31,31.75941250278812,80.03371950702606,49.9486983865192,0.6240956773492735,32.14496858100037,19.871519153344167,20.034430681546148,False,81.185126,5,2450
10,1,62,10,58,35.92534330637399,90.53186513206245,49.88796850809194,0.551054244108617,34.18553306880821,20.047860675980967,19.812770114084987,False,79.885252,7,2550
11,0,38,5,34,31.901343748284322,80.39138624567649,49.948698386519126,0.6213190332839348,30.390715692178212,20.075565596194842,19.830384238695466,False,84.280949,5,2450
12,0,38,7,36,32.31012180919335,81.42150695916723,49.94869838651917,0.6134582894857051,32.83550836729674,19.780125039423353,20.125824795466947,False,75.038276,4,2400
13,0,24,3,21,30.399011441799683,76.60550883333521,49.94869838651917,0.6520248889043837,29.605535379031693,20.056195321290964,19.849754513599372,False,109.379726,4,2400
14,0,75,7,71,38.91774706830188,98.07272261212073,49.94869838651914,0.5093026588449786,35.34448840727675,19.98202970148244,19.92392013340786,False,89.599156,4,2400
15,0,44,3,41,29.75573066742784,74.98444128191817,49.94869838651922,0.6661208316366278,29.45030548596852,20.044180300187307,19.861769534702997,False,93.335919,8,2600
16,0,30,4,27,29.77827416360553,75.04125089228594,49.94869838651919,0.6656165481331787,29.40951958964622,19.957320289863834,19.94862954502652,False,76.432219,5,2450
17,0,34,5,31,30.2559082815103,76.24488886940595,49.94869838651925,0.655108809615718,30.78617629870695,19.695417177147192,20.21053265774314,False,109.478495,5,2450
18,0,30,3,27,31.20214789562111,78.6294126969652,49.948698386519176,0.6352419110520332,30.75793885479292,19.882426763037444,20.023523071852892,False,118.209411,6,2500
19,0,15,3,12,28.570593452779534,71.99789550100442,49.94869838651914,0.6937521998239841,29.098983242081545,19.8562442586235,20.049705576266792,False,98.847822,4,2400
20,0,25,5,22,29.646432326562206,74.70900946293676,49.94869838651919,0.6685766381536461,30.814584624857915,19.658019186959976,20.247930647930357,False,78.594373,6,2500
