<<<<<<< HEAD
Iteration,Out Of Box,Front Area,Gross Volume,Net Volume,Deflation Factor
1,0,0.12145931384356397,0.32018792676853286,0.3643779415306919,0.8787247807138817
2,0,0.128452586462715,0.32018792676853286,0.38535775938814504,0.8308848569104041
3,0,0.12289431473644341,0.3201879267685329,0.36868294420933023,0.8684641690035357
4,0,0.13098586060904552,0.3201879267685329,0.3929575818271366,0.8148154955548986
5,0,0.12793908624394698,0.32018792676853286,0.3838172587318409,0.8342197217145894
6,0,0.12874015366495808,0.32018792676853286,0.3862204609948743,0.8290289073337889
7,0,0.12587746232357,0.3201879267685329,0.37763238697071,0.8478825911543636
8,0,0.13300573031268417,0.32018792676853286,0.39901719093805255,0.802441433703146
9,0,0.12634286909843023,0.32018792676853286,0.3790286072952907,0.8447592625088673
10,0,0.12251120772349927,0.3201879267685328,0.3675336231704978,0.871179959010168
=======
Iteration,Out Of Box,Front Area,Gross Volume,Net Volume,Deflation Factor
1,0,0.12492364824625213,0.32018792676853286,0.3747709447387564,0.8543563242121878
2,0,0.1260538184043391,0.3201879267685329,0.3781614552130173,0.8466963577453231
3,1,0.19989409385595497,0.26571292332289725,0.5996822815678648,0.4430895017077923
4,1,0.1086072892830061,0.2657129233228973,0.3258218678490183,0.8155159292316908
5,0,0.2180253307768678,0.32018792676853286,0.6540759923306034,0.48952710468341654
6,0,0.12615863590739002,0.32018792676853286,0.37847590772217005,0.8459928894696648
7,1,0.19989409385595497,0.26571292332289725,0.5996822815678648,0.4430895017077923
8,1,0.12055526148115202,0.3050121491378467,0.36166578444345604,0.8433536216515755
9,0,0.14222880330512472,0.32018792676853286,0.42668640991537415,0.7504057296599547
10,0,0.14222880330512472,0.32018792676853286,0.42668640991537415,0.7504057296599547
>>>>>>> 539fc5b47654804362cbb29d357f178f7ae3a13e
