Iteration,Out Of Box,Front Area,Gross Volume,Net Volume,Deflation Factor
1,0,3.7327617688611188,8.985301238950463,11.198285306583356,0.8023818819536681
2,0,3.8103100091155597,8.985301238950466,11.43093002734668,0.7860516351210762
3,0,3.6261017349995814,8.985301238950461,10.878305204998744,0.8259835580657895
4,0,3.6732379849020282,8.985301238950463,11.019713954706084,0.8153842537004508
5,0,3.6878236802393047,8.985301238950461,11.063471040717914,0.8121593309984748
6,0,3.6600150328714562,8.985301238950463,10.980045098614369,0.8183300850088827
7,0,3.718240586234041,8.985301238950456,11.154721758702124,0.8055154967841991
8,0,3.733819369424874,8.985301238950461,11.201458108274622,0.8021546080963277
9,0,3.734165679641416,8.985301238950461,11.202497038924248,0.8020802154850023
10,0,3.737900494326038,8.98530123895046,11.213701482978115,0.8012787974238244
11,0,3.6945810485234185,8.985301238950465,11.083743145570256,0.8106738960782885
12,0,3.679926900279799,8.985301238950461,11.039780700839398,0.8139021491855607
13,0,3.721665090891929,8.98530123895046,11.164995272675787,0.8047742985561565
14,0,3.7356735881030865,8.985301238950461,11.20702076430926,0.8017564549863013
15,0,3.6814612781114775,8.985301238950465,11.044383834334432,0.8135629269798866
16,0,3.7027203278630223,8.985301238950465,11.108160983589066,0.8088918815837415
17,0,3.6993821517583796,8.985301238950463,11.098146455275138,0.8096217936175816
18,0,3.6688775432912504,8.985301238950463,11.006632629873751,0.8163533335856896
19,0,3.6896331459137457,8.985301238950465,11.068899437741237,0.8117610327467245
20,0,3.635751785027872,8.985301238950468,10.907255355083617,0.8237912239546706
21,0,3.6455211310316322,8.985301238950461,10.936563393094897,0.8215836104990331
22,0,3.8246946829202635,8.985301238950461,11.47408404876079,0.7830952955169332
23,0,3.6424616335908366,8.985301238950466,10.927384900772509,0.8222737023123668
24,0,3.694495133224386,8.985301238950461,11.083485399673158,0.8106927482590837
25,0,3.695737368006023,8.985301238950461,11.087212104018068,0.810420253049379
26,0,3.7106232631437965,8.985301238950465,11.13186978943139,0.8071690927862919
27,0,3.6542812231192725,8.985301238950463,10.962843669357817,0.8196140992200069
28,0,3.6616342919672693,8.985301238950463,10.984902875901808,0.8179682005802725
29,0,3.597657156794241,8.985301238950461,10.792971470382723,0.8325141286259546
30,0,3.695855102943458,8.985301238950461,11.087565308830374,0.8103944363506363
31,0,3.749986328541233,8.985301238950465,11.2499589856237,0.7986963552874071
32,0,3.680083508627806,8.985301238950465,11.040250525883417,0.81386751305007
33,0,3.6818493645594597,8.985301238950465,11.045548093678379,0.8134771731330344
34,0,3.7209852273547988,8.985301238950463,11.162955682064396,0.804921339371365
35,0,3.755898398392047,8.985301238950463,11.267695195176142,0.797439146454476
36,0,3.739703740682523,8.98530123895046,11.21911122204757,0.8008924290983699
37,0,3.672958197759672,8.985301238950461,11.018874593279016,0.8154463654964422
38,0,3.7092037670641838,8.98530123895046,11.127611301192552,0.8074779928723337
39,0,3.73629780929065,8.985301238950461,11.20889342787195,0.8016225059833006
40,1,3.596552830487337,8.822773460958786,10.789658491462012,0.8177064610469695
41,0,3.6688753802029246,8.985301238950461,11.006626140608773,0.8163538148896812
42,0,3.764516387909926,8.985301238950463,11.293549163729779,0.795613593980495
43,0,3.7070678144753306,8.985301238950465,11.121203443425992,0.8079432486474195
44,0,3.6327873899527177,8.985301238950461,10.898362169858153,0.824463446792153
45,0,3.651609346620515,8.985301238950463,10.954828039861546,0.8202138094961849
46,0,3.668439850379204,8.985301238950463,11.005319551137612,0.8164507352284612
